team_id,team_name,league_name
53,Athletic Bilbao,LaLiga
63,Atletico Madrid,LaLiga
65,Barcelona,LaLiga
62,Celta Vigo,LaLiga
59,Deportivo La Coruna,LaLiga
824,Eibar,LaLiga
70,Espanyol,LaLiga
819,Getafe,LaLiga
925,Granada,LaLiga
838,Las Palmas,LaLiga
832,Levante,LaLiga
69,Malaga,LaLiga
64,Rayo Vallecano,LaLiga
54,Real Betis,LaLiga
52,Real Madrid,LaLiga
68,Real Sociedad,LaLiga
67,Sevilla,LaLiga
830,Sporting Gijon,LaLiga
55,Valencia,LaLiga
839,Villarreal,LaLiga
